## "2-letters-code": {"3-numbers-code", "3-letters-code", "EN-name", "RU-name"}

"AF": {"004", "AFG", "Afghanistan", "Афганистан"}
"AL": {"008", "ALB", "Albania", "Албания"}
"AQ": {"010", "ATA", "Antarctica", "Антарктика"}
"DZ": {"012", "DZA", "Algeria", "Алжир"}
"AS": {"016", "ASM", "American Samoa", "Американское Самоа"}
"AD": {"020", "AND", "Andorra", "Андорра"}
"AO": {"024", "AGO", "Angola", "Ангола"}
"AG": {"028", "ATG", "Antigua and Barbuda", "Антигуа и Барбуда"}
"AZ": {"031", "AZE", "Azerbaijan", "Азербайджан"}
"AR": {"032", "ARG", "Argentina", "Аргентина"}
"AU": {"036", "AUS", "Australia", "Австралия"}
"AT": {"040", "AUT", "Austria", "Австрия"}
"BS": {"044", "BHS", "Bahamas", "Багамские Острова"}
"BH": {"048", "BHR", "Bahrain", "Бахрейн"}
"BD": {"050", "BGD", "Bangladesh", "Бангладеш"}
"AM": {"051", "ARM", "Armenia", "Армения"}
"BB": {"052", "BRB", "Barbados", "Барбадос"}
"BE": {"056", "BEL", "Belgium", "Бельгия"}
"BM": {"060", "BMU", "Bermuda", "Бермуды"}
"BT": {"064", "BTN", "Bhutan", "Бутан"}
"BO": {"068", "BOL", "Bolivia (Plurinational State of)", "Боливия"}
"BA": {"070", "BIH", "Bosnia and Herzegovina", "Босния и Герцеговина"}
"BW": {"072", "BWA", "Botswana", "Ботсвана"}
"BV": {"074", "BVT", "Bouvet Island", "Остров Буве"}
"BR": {"076", "BRA", "Brazil", "Бразилия"}
"BZ": {"084", "BLZ", "Belize", "Белиз"}
"IO": {"086", "IOT", "British Indian Ocean Territory", "Британская Территория в Индийском Океане"}
"SB": {"090", "SLB", "Solomon Islands", "Соломоновы Острова"}
"VG": {"092", "VGB", "Virgin Islands (British)", "Виргинские Острова (Великобритания)"}
"BN": {"096", "BRN", "Brunei Darussalam", "Бруней"}
"BG": {"100", "BGR", "Bulgaria", "Болгария"}
"MM": {"104", "MMR", "Myanmar", "Мьянма"}
"BI": {"108", "BDI", "Burundi", "Бурунди"}
"BY": {"112", "BLR", "Belarus", "Белоруссия"}
"KH": {"116", "KHM", "Cambodia", "Камбоджа"}
"CM": {"120", "CMR", "Cameroon", "Камерун"}
"CA": {"124", "CAN", "Canada", "Канада"}
"CV": {"132", "CPV", "Cabo Verde", "Кабо-Верде"}
"KY": {"136", "CYM", "Cayman Islands", "Острова Кайман"}
"CF": {"140", "CAF", "Central African Republic", "ЦАР"}
"LK": {"144", "LKA", "Sri Lanka", "Шри-Ланка"}
"TD": {"148", "TCD", "Chad", "Чад"}
"CL": {"152", "CHL", "Chile", "Чили"}
"CN": {"156", "CHN", "China", "Китай (Китайская Народная Республика)"}
"TW": {"158", "TWN", "Taiwan, Province of China", "Китайская Республика"}
"CX": {"162", "CXR", "Christmas Island", "Остров Рождества"}
"CC": {"166", "CCK", "Cocos (Keeling) Islands", "Кокосовые острова"}
"CO": {"170", "COL", "Colombia", "Колумбия"}
"KM": {"174", "COM", "Comoros", "Коморы"}
"YT": {"175", "MYT", "Mayotte", "Майотта"}
"CG": {"178", "COG", "Congo", "Республика Конго"}
"CD": {"180", "COD", "Congo, Democratic Republic of the", "ДР Конго"}
"CK": {"184", "COK", "Cook Islands", "Острова Кука"}
"CR": {"188", "CRI", "Costa Rica", "Коста-Рика"}
"HR": {"191", "HRV", "Croatia", "Хорватия"}
"CU": {"192", "CUB", "Cuba", "Куба"}
